date,pluie,delta,skylight,gt_48hr
2015-03-01 16:34:49.000,0,0 days 00:05:01,DAY,False
2015-03-01 16:39:50.000,0,0 days 00:05:01,DAY,False
2015-03-01 16:44:50.000,0,0 days 00:05:00,DAY,False
2015-03-01 16:49:51.000,0,0 days 00:05:01,DAY,False
2015-03-01 16:54:52.000,0,0 days 00:05:01,DAY,False
2015-03-01 16:59:52.000,0,0 days 00:05:00,DAY,False
2015-03-01 17:04:54.000,0,0 days 00:05:02,DAY,False
2015-03-01 17:09:54.000,0,0 days 00:05:00,DAY,False
2015-03-01 17:14:55.000,0,0 days 00:05:01,DAY,False
2015-03-01 17:19:55.000,0,0 days 00:05:00,DAY,False
2015-03-01 17:24:55.000,0,0 days 00:05:00,DAY,False
2015-03-01 17:29:57.000,0,0 days 00:05:02,DAY,False
2015-03-01 17:34:58.000,0,0 days 00:05:01,DAY,False
2015-03-01 17:39:58.000,0,0 days 00:05:00,DAY,False
2015-03-01 17:44:59.000,0,0 days 00:05:01,DAY,False
2015-03-01 17:50:01.000,0,0 days 00:05:02,DAY,False
2015-03-01 17:55:02.000,0,0 days 00:05:01,DAY,False
2015-03-01 18:00:03.000,0,0 days 00:05:01,DAY,False
2015-03-01 18:05:03.000,0,0 days 00:05:00,DAY,False
2015-03-01 18:10:04.000,0,0 days 00:05:01,DAY,False
2015-03-01 18:15:04.000,0,0 days 00:05:00,DAY,False
2015-03-01 18:20:05.000,0,0 days 00:05:01,DAY,False
2015-03-01 18:25:07.000,0,0 days 00:05:02,DAY,False
2015-03-01 18:30:07.000,0,0 days 00:05:00,DAY,False
2015-03-01 18:35:09.000,0,0 days 00:05:02,DAY,False
2015-03-01 18:40:10.000,0,0 days 00:05:01,DAY,False
2015-03-01 18:45:12.000,0,0 days 00:05:02,DAY,False
2015-03-01 18:50:13.000,0,0 days 00:05:01,DAY,False
2015-03-01 18:55:14.000,0,0 days 00:05:01,DAY,False
2015-03-01 19:00:16.000,0,0 days 00:05:02,DAY,False
2015-03-01 19:05:17.000,0,0 days 00:05:01,DAY,False
2015-03-01 19:10:17.000,0,0 days 00:05:00,DAY,False
2015-03-01 19:15:17.000,0,0 days 00:05:00,DAY,False
2015-03-01 19:20:18.000,0,0 days 00:05:01,DAY,False
2015-03-01 19:25:18.000,0,0 days 00:05:00,DAY,False
2015-03-01 19:30:19.000,0,0 days 00:05:01,DAY,False
2015-03-01 19:35:19.000,0,0 days 00:05:00,DAY,False
2015-03-01 19:40:20.000,0,0 days 00:05:01,DAY,False
